Gene ID	Gene Name	'relapsing-remitting multiple sclerosis' vs 'normal' .foldChange	'relapsing-remitting multiple sclerosis' vs 'normal'.pValue
ENSG00000006740	ARHGAP44	0.2	0.664221010393896
ENSG00000006756	ARSD	0.2	0.529359975113343
ENSG00000006831	ADIPOR2	0.1	0.537058313030344
ENSG00000007038	PRSS21	0.4	0.558528074394525
ENSG00000007047	MARK4	0.5	0.190276555413612
ENSG00000007080	CCDC124	0.7	0.0678108273960862
ENSG00000007129	CEACAM21	0.2	0.525222374235028
ENSG00000007168	PAFAH1B1	-0.2	0.360476915919477
ENSG00000007202	KIAA0100	-0.2	0.284327802705286
ENSG00000007237	GAS7	0.3	0.347634508696672
ENSG00000007255	TRAPPC6A	0.6	0.131177989206426
ENSG00000007264	MATK	0.7	0.0781975744808016
ENSG00000007312	CD79B	0.6	0.158143131780511
ENSG00000007314	SCN4A	0.7	0.140036252381993
ENSG00000007341	ST7L	-0.2	0.569642631569328
ENSG00000007350	TKTL1	0.5	0.190387914693567
ENSG00000007376	RPUSD1	0.7	0.0859241747167176
ENSG00000007392	LUC7L	-0.2	0.210335509864925
ENSG00000007402	CACNA2D2	-0.3	0.333972391657253
ENSG00000007516	BAIAP3	0.9	0.051309062784832
ENSG00000007520	TSR3	1.0	0.0202918303876156
ENSG00000007541	PIGQ	0.7	0.0380056760170502
ENSG00000007545	CRAMP1	-0.6	0.0166826467006817
ENSG00000007923	DNAJC11	-0.3	0.271400427606958
ENSG00000007944	MYLIP	-0.3	0.126263962347903
ENSG00000007968	E2F2	0.4	0.199261004436318
ENSG00000008018	PSMB1	0.7	0.0156623161193525
ENSG00000008056	SYN1	0.7	0.199154403763993
ENSG00000008083	JARID2	-0.2	0.556559811304081
ENSG00000008086	CDKL5	-0.1	0.813147628840586
ENSG00000008128	CDK11A	0.2	0.63786833826339
ENSG00000008130	NADK	0.5	0.068647641303568
ENSG00000008256	CYTH3	-0.7	0.0151756876168787
ENSG00000008277	ADAM22	-0.8	0.0342503869938182
ENSG00000008282	SYPL1	-0.4	0.130772263684962
ENSG00000008283	CYB561	0.1	0.692594065318435
ENSG00000008294	SPAG9	-0.2	0.617366380882662
ENSG00000008300	CELSR3	-0.3	0.321119355648169
ENSG00000008311	AASS	-0.6	0.324258937083636
ENSG00000008323	PLEKHG6	0.1	0.831889012273901
ENSG00000008324	SS18L2	0.6	0.0399385984131921
ENSG00000008382	MPND	0.7	0.0342010104701933
ENSG00000008394	MGST1	0.5	0.109147421904973
ENSG00000008405	CRY1	-0.8	0.0465103869513792
ENSG00000008438	PGLYRP1	1.2	0.0158709054261013
ENSG00000008441	NFIX	0.3	0.484436439334206
ENSG00000008516	MMP25	0.6	0.19317317710989
ENSG00000008517	IL32	0.4	0.219161972933534
ENSG00000008710	PKD1	-0.5	0.0549381424509939
ENSG00000008735	MAPK8IP2	0.5	0.317907714564644
ENSG00000008838	MED24	-0.1	0.453113563817754
ENSG00000008853	RHOBTB2	-0.3	0.207245295178683
ENSG00000008869	HEATR5B	-0.6	0.110544801309581
ENSG00000008988	RPS20	1.0	0.0113140810513497
ENSG00000009307	CSDE1	-0.1	0.750354527835489
ENSG00000009335	UBE3C	-0.4	0.0815699231022538
ENSG00000009413	REV3L	-0.6	0.161679108092607
ENSG00000009694	TENM1	-0.7	0.130812094250492
ENSG00000009724	MASP2	-1.1	0.0181834418818869
ENSG00000009780	FAM76A	-0.2	0.430776726917229
ENSG00000009790	TRAF3IP3	-0.1	0.533969631896986
ENSG00000009954	BAZ1B	-0.3	0.230520720533651
ENSG00000010017	RANBP9	-0.5	0.119774558868809
ENSG00000010030	ETV7	0.8	0.169343806777995
ENSG00000010072	SPRTN	-0.2	0.464518369815214
ENSG00000010244	ZNF207	-0.3	0.130812094250492
ENSG00000010256	UQCRC1	0.8	0.0184619559440761
ENSG00000010270	STARD3NL	0.2	0.400127494139055
ENSG00000010278	CD9	-0.2	0.758256568804539
ENSG00000010292	NCAPD2	-0.2	0.38484719833904
ENSG00000010295	IFFO1	0.3	0.100963227381281
ENSG00000010310	GIPR	0.2	0.616109198582017
ENSG00000010319	SEMA3G	-0.6	0.221883488894093
ENSG00000010322	NISCH	0.2	0.278672768121514
ENSG00000010327	STAB1	0.6	0.0400131239318305
ENSG00000010361	FUZ	0.9	0.0344967875475776
ENSG00000010539	ZNF200	0.1	0.656819700875826
ENSG00000010610	CD4	0.1	0.616109198582017
ENSG00000010626	LRRC23	0.5	0.140924476441593
ENSG00000010671	BTK	0.4	0.0465871201298791
ENSG00000010704	HFE	-0.2	0.660393665834126
ENSG00000010803	SCMH1	-0.1	0.612465975974404
ENSG00000010818	HIVEP2	-0.7	0.0183447838133844
ENSG00000011007	ELOA	-0.1	0.761696683400367
ENSG00000011009	LYPLA2	0.7	0.0440414348128901
ENSG00000011021	CLCN6	-0.4	0.0389706560632526
ENSG00000011028	MRC2	-0.2	0.606438071484572
ENSG00000011105	TSPAN9	0.3	0.348210466312959
ENSG00000011114	BTBD7	-0.6	0.0712962622144917
ENSG00000011132	APBA3	0.5	0.0921472445327139
ENSG00000011143	MKS1	-0.2	0.444631337938229
ENSG00000011198	ABHD5	0.5	0.0581864030588806
ENSG00000011243	AKAP8L	0.5	0.039232834468366
ENSG00000011258	MBTD1	-0.6	0.0861940839288036
ENSG00000011260	UTP18	0.1	0.60406452409076
ENSG00000011295	TTC19	-0.4	0.0875529127291821
ENSG00000011304	PTBP1	-0.2	0.198035856756361
ENSG00000011376	LARS2	-0.3	0.317921626530092
ENSG00000011405	PIK3C2A	-0.7	0.0802767060354745
ENSG00000011422	PLAUR	0.6	0.0513500584518831
ENSG00000011451	WIZ	0.1	0.560849336590822
ENSG00000011454	RABGAP1	-0.4	0.191408959726028
ENSG00000011478	QPCTL	0.2	0.612066707599
ENSG00000011485	PPP5C	-0.1	0.692647657739456
ENSG00000011523	CEP68	-0.7	0.0286611346065216
ENSG00000011566	MAP4K3	-0.7	0.109445549167591
ENSG00000011590	ZBTB32	0.4	0.409828346954254
ENSG00000011600	TYROBP	1.3	0.0052590742990765
ENSG00000012061	ERCC1	0.5	0.0597087826210758
ENSG00000012124	CD22	0.1	0.869110794346628
ENSG00000012171	SEMA3B	0.1	0.827825917713857
ENSG00000012174	MBTPS2	-0.8	0.067297939708563
ENSG00000012211	PRICKLE3	0.2	0.205959509013196
ENSG00000012223	LTF	0.6	0.245478375100737
ENSG00000012232	EXTL3	0.5	0.117848868422583
ENSG00000012660	ELOVL5	-0.4	0.249103706551323
ENSG00000012779	ALOX5	0.6	0.0327710896143861
ENSG00000012822	CALCOCO1	0.2	0.187769974942564
ENSG00000012963	UBR7	-0.3	0.292565872542589
ENSG00000012983	MAP4K5	-0.7	0.0867319716659191
ENSG00000013016	EHD3	0.2	0.297032238059659
ENSG00000013275	PSMC4	0.5	0.088111708114883
ENSG00000013288	MAN2B2	0.1	0.652722299402636
ENSG00000013306	SLC25A39	0.7	0.0930525787996169
ENSG00000013364	MVP	0.8	0.0288007588402075
ENSG00000013374	NUB1	0.4	0.136182029224657
ENSG00000013375	PGM3	-0.8	0.037260711161385
ENSG00000013392	RWDD2A	-0.2	0.624354748190824
ENSG00000013441	CLK1	-0.7	0.128334426306699
ENSG00000013523	ANGEL1	-0.4	0.0333082651197185
ENSG00000013561	RNF14	-0.3	0.269716678903849
ENSG00000013563	DNASE1L1	0.2	0.286068938334246
ENSG00000013573	DDX11	-0.3	0.617366380882662
ENSG00000013583	HEBP1	0.2	0.522506094030844
ENSG00000013619	MAMLD1	0.1	0.922053593090607
ENSG00000013810	TACC3	0.8	0.0185985207177655
ENSG00000014123	UFL1	-0.7	0.0979799307217863
ENSG00000014138	POLA2	0.4	0.193850017957496
ENSG00000014164	ZC3H3	0.7	0.058584508564264
ENSG00000014216	CAPN1	0.4	0.0914169015221508
ENSG00000014257	ACP3	-0.1	0.801382084878751
ENSG00000014641	MDH1	0.5	0.074017926017898
ENSG00000014824	SLC30A9	-0.4	0.297671332936323
ENSG00000014914	MTMR11	0.2	0.606328053208326
ENSG00000014919	COX15	0.1	0.408851581347227
ENSG00000015133	CCDC88C	-0.3	0.0984892611051564
ENSG00000015153	YAF2	-0.3	0.207819728982401
ENSG00000015171	ZMYND11	-0.9	0.0307417729902162
ENSG00000015285	WAS	0.9	0.0155490321861997
ENSG00000015475	BID	0.8	0.00751871368744522
ENSG00000015479	MATR3	-1.2	0.0102135555760139
ENSG00000015532	XYLT2	0.1	0.612291890040858
ENSG00000016864	GLT8D1	-0.1	0.817665937476545
ENSG00000017260	ATP2C1	-0.4	0.196652538010658
ENSG00000017483	SLC38A5	0.3	0.55505304956154
ENSG00000017797	RALBP1	0.4	0.0890727801154642
ENSG00000018189	RUFY3	-0.4	0.13450293512095
ENSG00000018280	SLC11A1	0.7	0.0669629524042151
ENSG00000018510	AGPS	-0.4	0.278672768121514
ENSG00000018610	STEEP1	-0.2	0.592323829026432
ENSG00000018699	TTC27	-0.2	0.616661382009049
ENSG00000018869	ZNF582	-0.2	0.714005361954867
ENSG00000019102	VSIG2	0.9	0.0134456018450495
ENSG00000019144	PHLDB1	-0.3	0.524027727539905
ENSG00000019169	MARCO	0.5	0.169813687773797
ENSG00000019485	PRDM11	-0.3	0.0994639967145709
ENSG00000019582	CD74	0.3	0.388497690402797
ENSG00000019991	HGF	-0.3	0.405559693875699
ENSG00000019995	ZRANB1	-0.3	0.267078815490251
ENSG00000020129	NCDN	0.2	0.467568189623568
ENSG00000020181	ADGRA2	-0.4	0.230769866925495
ENSG00000020426	MNAT1	-0.3	0.53082176052886
ENSG00000020577	SAMD4A	0.1	0.859771195471509
ENSG00000020633	RUNX3	-0.1	0.674197457095163
ENSG00000020922	MRE11	-0.3	0.266094265467187
ENSG00000021300	PLEKHB1	-0.2	0.557918658704058
ENSG00000021355	SERPINB1	0.7	0.00275184969878545
ENSG00000021574	SPAST	-0.3	0.346149742097444
ENSG00000021762	OSBPL5	0.2	0.474797653053691
ENSG00000021776	AQR	-0.3	0.480654938206919
ENSG00000022277	RTF2	0.9	0.003859524147823
ENSG00000022556	NLRP2	-0.7	0.0883395820806065
ENSG00000022567	SLC45A4	0.5	0.128234230159477
ENSG00000022840	RNF10	0.2	0.354386305698409
ENSG00000022976	ZNF839	-0.1	0.837608620504549
ENSG00000023171	GRAMD1B	0.3	0.31533193422333
ENSG00000023191	RNH1	0.4	0.0984892611051564
ENSG00000023228	NDUFS1	-0.3	0.175523738520156
ENSG00000023287	RB1CC1	-0.6	0.147014555108139
ENSG00000023318	ERP44	0.2	0.429003167414574
ENSG00000023330	ALAS1	0.2	0.276877555149048
ENSG00000023445	BIRC3	-0.9	0.0217237967409041
ENSG00000023516	AKAP11	-0.9	0.0301165927256148
ENSG00000023572	GLRX2	-0.1	0.690577533393413
ENSG00000023697	DERA	0.1	0.606576902486516
ENSG00000023734	STRAP	-0.1	0.634726339449201
ENSG00000023839	ABCC2	-0.1	0.819740095568962
ENSG00000023892	DEF6	0.6	0.0530621767275816
ENSG00000023902	PLEKHO1	0.9	0.0223444893686078
ENSG00000023909	GCLM	-0.2	0.330423588566373
ENSG00000024862	CCDC28A	0.3	0.149506240193204
ENSG00000025039	RRAGD	-0.2	0.519019550961307
ENSG00000025156	HSF2	-0.5	0.227696788821324
ENSG00000025293	PHF20	-0.3	0.249103706551323
ENSG00000025434	NR1H3	0.6	0.109116956136989
ENSG00000025708	TYMP	1.0	0.0301165927256148
ENSG00000025770	NCAPH2	0.6	0.0947999716273564
ENSG00000025772	TOMM34	0.2	0.364836629022203
ENSG00000025796	SEC63	-0.5	0.131014356982518
ENSG00000026025	VIM	0.5	0.0829565432987951
ENSG00000026036	RTEL1-TNFRSF6B	0.2	0.592248613414268
ENSG00000026297	RNASET2	0.7	0.0645517252683724
ENSG00000026508	CD44	-0.1	0.863503017236102
ENSG00000026559	KCNG1	0.3	0.52869703446869
ENSG00000026652	AGPAT4	-0.1	0.568630291115997
ENSG00000026751	SLAMF7	-0.1	0.734767288284695
ENSG00000027001	MIPEP	-0.5	0.110752308431853
ENSG00000027075	PRKCH	-0.5	0.0546221174829401
ENSG00000027697	IFNGR1	0.3	0.291187746498203
ENSG00000027847	B4GALT7	0.4	0.16090791147656
ENSG00000027869	SH2D2A	0.5	0.208968337780221
ENSG00000028116	VRK2	-0.2	0.624616613236551
ENSG00000028137	TNFRSF1B	0.6	0.0301165927256148
ENSG00000028203	VEZT	-0.8	0.0325583498454819
ENSG00000028277	POU2F2	0.3	0.348634835064486
ENSG00000028310	BRD9	0.1	0.633243864539086
ENSG00000029153	ARNTL2	-0.7	0.234545285686049
ENSG00000029363	BCLAF1	-0.6	0.150158060002711
ENSG00000029364	SLC39A9	-0.1	0.843489870574011
ENSG00000029534	ANK1	-0.2	0.592543997346588
ENSG00000029725	RABEP1	-0.3	0.274259193890838
ENSG00000029993	HMGB3	0.3	0.58465906874454
ENSG00000030066	NUP160	-0.5	0.124759413761782
ENSG00000030110	BAK1	0.6	0.115821930166148
ENSG00000030419	IKZF2	-1.1	0.00896008147805706
ENSG00000030582	GRN	0.5	0.103475995908343
ENSG00000031003	FAM13B	-0.5	0.192577686483661
ENSG00000031081	ARHGAP31	-0.2	0.645287590490775
ENSG00000031691	CENPQ	-0.1	0.847556951849063
ENSG00000031698	SARS1	0.3	0.291262468265338
ENSG00000031823	RANBP3	0.2	0.235527102282019
ENSG00000032219	ARID4A	-0.4	0.228365820558041
ENSG00000032389	EIPR1	0.5	0.0555814803357765
ENSG00000032444	PNPLA6	0.6	0.0632851515800846
ENSG00000032742	IFT88	-0.3	0.337197022584566
ENSG00000033011	ALG1	0.1	0.56524139226051
ENSG00000033030	ZCCHC8	-0.4	0.0779906303248558
ENSG00000033050	ABCF2	0.2	0.41234410313416
ENSG00000033100	CHPF2	0.3	0.266317779937415
ENSG00000033122	LRRC7	-0.7	0.227994732690971
ENSG00000033170	FUT8	-0.7	0.0166826467006817
ENSG00000033178	UBA6	-0.6	0.146894106000712
ENSG00000033327	GAB2	0.1	0.6406707496093
ENSG00000033627	ATP6V0A1	0.6	0.0360221600533215
ENSG00000033800	PIAS1	0.3	0.0904909373181277
ENSG00000033867	SLC4A7	-1.1	0.0138017826345148
ENSG00000034053	APBA2	-0.3	0.429145639186029
ENSG00000034152	MAP2K3	0.5	0.0310611787342695
ENSG00000034510	TMSB10	0.7	0.0821153084037977
ENSG00000034677	RNF19A	-0.8	0.0411915999321143
ENSG00000034693	PEX3	-0.3	0.23643904032691
ENSG00000034713	GABARAPL2	0.4	0.00456819313105601
ENSG00000035115	SH3YL1	-0.7	0.0029790525049965
ENSG00000035141	FAM136A	-0.2	0.29548321359013
ENSG00000035403	VCL	-0.1	0.792203909859962
ENSG00000035664	DAPK2	0.6	0.0883733915924845
ENSG00000035681	NSMAF	-0.2	0.622278359342921
ENSG00000035687	ADSS2	-0.4	0.204179347324501
ENSG00000035720	STAP1	0.1	0.869847002270334
ENSG00000035862	TIMP2	0.1	0.746363804166623
ENSG00000035928	RFC1	-0.3	0.21759750586071
ENSG00000036054	TBC1D23	-0.4	0.259199347114772
ENSG00000036257	CUL3	-0.2	0.425642606788428
ENSG00000036448	MYOM2	1.6	0.00751871368744522
ENSG00000036549	ZZZ3	-0.8	0.0954514442705989
ENSG00000037042	TUBG2	0.4	0.126747490368756
ENSG00000037241	RPL26L1	0.8	0.119616999459631
ENSG00000037280	FLT4	-0.6	0.103441311137431
ENSG00000037474	NSUN2	-0.4	0.173898788143905
ENSG00000037637	FBXO42	0.1	0.366895315851338
ENSG00000037749	MFAP3	-0.7	0.0868572399123011
ENSG00000037757	MRI1	-0.3	0.210190955873087
ENSG00000037897	METTL1	0.2	0.647028025260923
ENSG00000038002	AGA	-0.2	0.485822396045999
ENSG00000038210	PI4K2B	-0.7	0.133025910084598
ENSG00000038219	BOD1L1	-0.5	0.128002705451447
ENSG00000038274	MAT2B	-0.3	0.248498611461779
ENSG00000038358	EDC4	0.1	0.706919863740878
ENSG00000038382	TRIO	-0.8	0.0255167098605693
ENSG00000038427	VCAN	-0.1	0.800174098061933
ENSG00000038945	MSR1	0.4	0.513059123087497
ENSG00000039068	CDH1	-0.2	0.740189206156699
ENSG00000039123	MTREX	-0.1	0.839804758234298
ENSG00000039319	ZFYVE16	-0.6	0.165745374895734
ENSG00000039523	RIPOR1	0.3	0.294083726856926
ENSG00000039650	PNKP	0.5	0.136182029224657
ENSG00000040199	PHLPP2	-0.9	0.0324844897749966
ENSG00000040275	SPDL1	-0.7	0.0855484862484938
ENSG00000040341	STAU2	-0.2	0.557102377720094
ENSG00000040487	SLC66A1	0.4	0.169374322821484
ENSG00000040531	CTNS	0.3	0.266314056888187
ENSG00000040608	RTN4R	0.1	0.85399052977875
ENSG00000040633	PHF23	0.4	0.054978245126055
ENSG00000040933	INPP4A	-0.4	0.0499435791783952
ENSG00000041353	RAB27B	-0.3	0.562369430180842
ENSG00000041357	PSMA4	0.4	0.103475995908343
ENSG00000041802	LSG1	-0.5	0.107639067119867
ENSG00000041880	PARP3	0.2	0.582676446079401
ENSG00000041988	THAP3	0.6	0.0339969075122599
ENSG00000042062	RIPOR3	0.3	0.504657560459446
ENSG00000042088	TDP1	-0.1	0.564635721476127
ENSG00000042286	AIFM2	-0.1	0.794438032754607
ENSG00000042429	MED17	-0.4	0.0936426197249949
ENSG00000042445	RETSAT	-0.2	0.356086696313846
ENSG00000042493	CAPG	0.9	0.0134456018450495
ENSG00000042753	AP2S1	0.7	0.046960855764619
ENSG00000042832	TG	0.4	0.336474137411121
ENSG00000042980	ADAM28	-0.4	0.1332845012516
ENSG00000043093	DCUN1D1	-0.1	0.653190936637264
ENSG00000043143	JADE2	-0.3	0.0396466425837226
ENSG00000043514	TRIT1	-0.3	0.41234410313416
ENSG00000044090	CUL7	0.3	0.297122370079013
ENSG00000044115	CTNNA1	0.1	0.580017521302816
ENSG00000044446	PHKA2	0.3	0.0301165927256148
ENSG00000044459	CNTLN	-0.4	0.292565872542589
ENSG00000044574	HSPA5	-0.1	0.867536826971526
ENSG00000046647	GEMIN8	0.1	0.70920954392861
ENSG00000046651	OFD1	-0.6	0.0200741576805402
ENSG00000046653	GPM6B	-0.9	0.0503325797519827
ENSG00000047056	WDR37	-0.5	0.0331955615043693
ENSG00000047188	YTHDC2	-0.7	0.128069819705945
ENSG00000047230	CTPS2	-0.2	0.589458718718651
ENSG00000047249	ATP6V1H	0.1	0.586113116180598
ENSG00000047315	POLR2B	-0.2	0.618483322491619
ENSG00000047346	FAM214A	-0.7	0.0988708403664906
ENSG00000047365	ARAP2	-0.7	0.125909623496258
ENSG00000047410	TPR	-0.2	0.452958035813094
ENSG00000047578	KATNIP	0.1	0.756436441403948
ENSG00000047579	DTNBP1	0.4	0.101612729686369
ENSG00000047597	XK	-0.3	0.554307603922883
ENSG00000047621	C12orf4	-0.2	0.639676752128773
ENSG00000047634	SCML1	-1.0	0.0431283126576343
ENSG00000047644	WWC3	0.2	0.429003167414574
ENSG00000047662	FAM184B	0.4	0.308180812943602
ENSG00000047849	MAP4	-0.3	0.192414723397438
ENSG00000047932	GOPC	-0.9	0.0370758314022201
ENSG00000048028	USP28	-0.5	0.235211490456866
ENSG00000048052	HDAC9	-0.8	0.0739437758923771
ENSG00000048140	TSPAN17	0.2	0.327354031267632
ENSG00000048342	CC2D2A	0.1	0.813416314215353
ENSG00000048392	RRM2B	-0.5	0.239584579539353
ENSG00000048405	ZNF800	-0.1	0.641138067859717
ENSG00000048462	TNFRSF17	1.3	0.0217237967409041
ENSG00000048471	SNX29	-0.4	0.101091417473793
ENSG00000048544	MRPS10	0.2	0.440384049526986
ENSG00000048649	RSF1	-0.4	0.173928149027193
ENSG00000048707	VPS13D	-0.5	0.0240625398379233
ENSG00000048740	CELF2	-0.2	0.529220243129746
ENSG00000048828	FAM120A	-0.3	0.369477504189735
ENSG00000048991	R3HDM1	-0.3	0.251928295722442
ENSG00000049089	COL9A2	1.0	0.00879508335306881
ENSG00000049239	H6PD	-0.2	0.506105371429702
ENSG00000049245	VAMP3	0.5	0.00481723406536768
ENSG00000049246	PER3	-0.7	0.052333756213764
ENSG00000049249	TNFRSF9	0.2	0.518111796484302
ENSG00000049323	LTBP1	0.2	0.633243864539086
ENSG00000049449	RCN1	-0.2	0.589246196067336
ENSG00000049541	RFC2	0.8	0.00950771061649393
ENSG00000049618	ARID1B	-0.7	0.0108538857401132
ENSG00000049656	CLPTM1L	0.1	0.535908847212524
ENSG00000049759	NEDD4L	0.3	0.137473556029977
ENSG00000049768	FOXP3	0.2	0.670468213562292
ENSG00000049769	PPP1R3F	0.1	0.811087146392307
ENSG00000049860	HEXB	0.2	0.571044426259364
ENSG00000049883	PTCD2	-0.2	0.449696714983378
ENSG00000050165	DKK3	-0.3	0.663829742709862
ENSG00000050327	ARHGEF5	-0.2	0.738592235677841
ENSG00000050344	NFE2L3	-0.5	0.1486466704171
ENSG00000050393	MCUR1	-0.3	0.337013738491073
ENSG00000050405	LIMA1	-0.6	0.159811711953904
ENSG00000050426	LETMD1	-0.2	0.0999287526266978
ENSG00000050438	SLC4A8	-0.3	0.482888693346696
ENSG00000050555	LAMC3	0.3	0.593050007711715
ENSG00000050748	MAPK9	-0.3	0.271847448135541
ENSG00000051009	FAM160A2	0.2	0.422573198649078
ENSG00000051108	HERPUD1	0.2	0.151554757027496
ENSG00000051128	HOMER3	1.0	0.0145166735803076
ENSG00000051382	PIK3CB	-0.3	0.414489326116449
ENSG00000051523	CYBA	1.2	0.0141892969519524
ENSG00000051596	THOC3	0.3	0.390145148677674
ENSG00000051620	HEBP2	0.4	0.0745311951164079
ENSG00000051825	MPHOSPH9	-0.7	0.0887286011298653
ENSG00000052723	SIKE1	-0.6	0.0997191763831179
